"Type","Accession","Trait","root_path","full_path"
Immune_Cell,GCST90001640,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_250_32929287-GCST90001640-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001641,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_251_32929287-GCST90001641-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001642,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_252_32929287-GCST90001642-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001643,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_253_32929287-GCST90001643-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001644,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_254_32929287-GCST90001644-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001645,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_255_32929287-GCST90001645-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001646,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_256_32929287-GCST90001646-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001647,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_257_32929287-GCST90001647-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001648,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_258_32929287-GCST90001648-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001649,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_259_32929287-GCST90001649-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001416,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_26_32929287-GCST90001416-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001650,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_260_32929287-GCST90001650-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001651,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_261_32929287-GCST90001651-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001652,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_262_32929287-GCST90001652-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001653,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_263_32929287-GCST90001653-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001654,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_264_32929287-GCST90001654-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001655,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_265_32929287-GCST90001655-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001656,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_266_32929287-GCST90001656-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001657,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_267_32929287-GCST90001657-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001658,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_268_32929287-GCST90001658-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001659,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_269_32929287-GCST90001659-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001417,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_27_32929287-GCST90001417-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001660,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_270_32929287-GCST90001660-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001661,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_271_32929287-GCST90001661-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001662,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_272_32929287-GCST90001662-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001663,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_273_32929287-GCST90001663-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001664,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_274_32929287-GCST90001664-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001665,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_275_32929287-GCST90001665-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001666,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_276_32929287-GCST90001666-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001667,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_277_32929287-GCST90001667-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001668,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_278_32929287-GCST90001668-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001669,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_279_32929287-GCST90001669-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001418,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_28_32929287-GCST90001418-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001670,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_280_32929287-GCST90001670-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001671,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_281_32929287-GCST90001671-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001672,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_282_32929287-GCST90001672-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001673,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_283_32929287-GCST90001673-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001674,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_284_32929287-GCST90001674-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001675,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_285_32929287-GCST90001675-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001676,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_286_32929287-GCST90001676-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001677,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_287_32929287-GCST90001677-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001678,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_288_32929287-GCST90001678-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001679,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_289_32929287-GCST90001679-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001419,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_29_32929287-GCST90001419-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001680,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_290_32929287-GCST90001680-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001681,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_291_32929287-GCST90001681-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001682,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_292_32929287-GCST90001682-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001683,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_293_32929287-GCST90001683-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001684,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_294_32929287-GCST90001684-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001685,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_295_32929287-GCST90001685-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001686,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_296_32929287-GCST90001686-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001687,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_297_32929287-GCST90001687-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001688,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_298_32929287-GCST90001688-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001689,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_299_32929287-GCST90001689-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001393,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_3_32929287-GCST90001393-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001420,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_30_32929287-GCST90001420-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001690,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_300_32929287-GCST90001690-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001691,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_301_32929287-GCST90001691-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001692,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_302_32929287-GCST90001692-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001693,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_303_32929287-GCST90001693-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001694,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_304_32929287-GCST90001694-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001695,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_305_32929287-GCST90001695-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001696,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_306_32929287-GCST90001696-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001697,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_307_32929287-GCST90001697-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001698,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_308_32929287-GCST90001698-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001699,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_309_32929287-GCST90001699-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001421,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_31_32929287-GCST90001421-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001700,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_310_32929287-GCST90001700-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001701,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_311_32929287-GCST90001701-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001702,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_312_32929287-GCST90001702-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001703,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_313_32929287-GCST90001703-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001704,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_314_32929287-GCST90001704-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001705,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_315_32929287-GCST90001705-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001706,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_316_32929287-GCST90001706-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001707,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_317_32929287-GCST90001707-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001708,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_318_32929287-GCST90001708-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001709,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_319_32929287-GCST90001709-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001422,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_32_32929287-GCST90001422-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001710,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_320_32929287-GCST90001710-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001711,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_321_32929287-GCST90001711-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001712,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_322_32929287-GCST90001712-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001713,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_323_32929287-GCST90001713-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001714,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_324_32929287-GCST90001714-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001715,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_325_32929287-GCST90001715-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001716,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_326_32929287-GCST90001716-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001717,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_327_32929287-GCST90001717-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001718,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_328_32929287-GCST90001718-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001719,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_329_32929287-GCST90001719-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001423,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_33_32929287-GCST90001423-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001720,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_330_32929287-GCST90001720-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001721,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_331_32929287-GCST90001721-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001722,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_332_32929287-GCST90001722-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001723,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_333_32929287-GCST90001723-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001724,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_334_32929287-GCST90001724-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001725,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_335_32929287-GCST90001725-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001726,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_336_32929287-GCST90001726-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001727,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_337_32929287-GCST90001727-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001728,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_338_32929287-GCST90001728-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001729,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_339_32929287-GCST90001729-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001424,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_34_32929287-GCST90001424-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001730,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_340_32929287-GCST90001730-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001731,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_341_32929287-GCST90001731-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001732,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_342_32929287-GCST90001732-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001733,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_343_32929287-GCST90001733-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001734,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_344_32929287-GCST90001734-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001735,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_345_32929287-GCST90001735-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001736,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_346_32929287-GCST90001736-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001737,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_347_32929287-GCST90001737-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001738,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_348_32929287-GCST90001738-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001739,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_349_32929287-GCST90001739-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001425,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_35_32929287-GCST90001425-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001740,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_350_32929287-GCST90001740-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001741,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_351_32929287-GCST90001741-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001742,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_352_32929287-GCST90001742-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001743,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_353_32929287-GCST90001743-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001744,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_354_32929287-GCST90001744-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001745,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_355_32929287-GCST90001745-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001746,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_356_32929287-GCST90001746-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001747,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_357_32929287-GCST90001747-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001748,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_358_32929287-GCST90001748-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001749,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_359_32929287-GCST90001749-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001426,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_36_32929287-GCST90001426-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001750,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_360_32929287-GCST90001750-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001751,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_361_32929287-GCST90001751-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001752,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_362_32929287-GCST90001752-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001753,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_363_32929287-GCST90001753-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001754,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_364_32929287-GCST90001754-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001755,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_365_32929287-GCST90001755-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001756,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_366_32929287-GCST90001756-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001757,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_367_32929287-GCST90001757-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001758,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_368_32929287-GCST90001758-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001759,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_369_32929287-GCST90001759-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001427,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_37_32929287-GCST90001427-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001760,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_370_32929287-GCST90001760-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001761,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_371_32929287-GCST90001761-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001762,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_372_32929287-GCST90001762-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001763,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_373_32929287-GCST90001763-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001764,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_374_32929287-GCST90001764-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001765,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_375_32929287-GCST90001765-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001766,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_376_32929287-GCST90001766-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001767,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_377_32929287-GCST90001767-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001768,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_378_32929287-GCST90001768-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001769,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_379_32929287-GCST90001769-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001428,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_38_32929287-GCST90001428-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001770,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_380_32929287-GCST90001770-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001771,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_381_32929287-GCST90001771-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001772,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_382_32929287-GCST90001772-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001773,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_383_32929287-GCST90001773-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001774,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_384_32929287-GCST90001774-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001775,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_385_32929287-GCST90001775-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001776,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_386_32929287-GCST90001776-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001777,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_387_32929287-GCST90001777-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001778,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_388_32929287-GCST90001778-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001779,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_389_32929287-GCST90001779-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001429,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_39_32929287-GCST90001429-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001780,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_390_32929287-GCST90001780-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001781,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_391_32929287-GCST90001781-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001782,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_392_32929287-GCST90001782-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001783,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_393_32929287-GCST90001783-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001784,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_394_32929287-GCST90001784-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001785,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_395_32929287-GCST90001785-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001786,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_396_32929287-GCST90001786-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001787,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_397_32929287-GCST90001787-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001788,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_398_32929287-GCST90001788-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001789,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_399_32929287-GCST90001789-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001394,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_4_32929287-GCST90001394-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001430,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_40_32929287-GCST90001430-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001790,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_400_32929287-GCST90001790-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001791,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_401_32929287-GCST90001791-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001792,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_402_32929287-GCST90001792-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001793,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_403_32929287-GCST90001793-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001794,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_404_32929287-GCST90001794-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001795,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_405_32929287-GCST90001795-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001796,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_406_32929287-GCST90001796-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001797,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_407_32929287-GCST90001797-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001798,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_408_32929287-GCST90001798-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001799,blood protein measurement,../Data/GWAS summary stats/Original Data,Immune_Cell_409_32929287-GCST90001799-EFO_0007937.h.tsv.gz
