"Type","Accession","Trait","root_path","full_path"
Immune_Cell,GCST90001517,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_127_32929287-GCST90001517-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001518,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_128_32929287-GCST90001518-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001519,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_129_32929287-GCST90001519-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001403,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_13_32929287-GCST90001403-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001520,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_130_32929287-GCST90001520-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001521,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_131_32929287-GCST90001521-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001522,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_132_32929287-GCST90001522-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001523,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_133_32929287-GCST90001523-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001524,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_134_32929287-GCST90001524-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001525,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_135_32929287-GCST90001525-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001526,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_136_32929287-GCST90001526-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001527,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_137_32929287-GCST90001527-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001528,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_138_32929287-GCST90001528-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001529,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_139_32929287-GCST90001529-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001404,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_14_32929287-GCST90001404-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001530,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_140_32929287-GCST90001530-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001531,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_141_32929287-GCST90001531-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001532,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_142_32929287-GCST90001532-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001533,myeloid white cell count,../Data/GWAS summary stats/Original Data,Immune_Cell_143_32929287-GCST90001533-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001534,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_144_32929287-GCST90001534-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001535,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_145_32929287-GCST90001535-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001536,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_146_32929287-GCST90001536-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001537,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_147_32929287-GCST90001537-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001538,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_148_32929287-GCST90001538-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001539,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_149_32929287-GCST90001539-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001405,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_15_32929287-GCST90001405-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001540,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_150_32929287-GCST90001540-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001541,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_151_32929287-GCST90001541-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001542,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_152_32929287-GCST90001542-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001543,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_153_32929287-GCST90001543-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001544,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_154_32929287-GCST90001544-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001545,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_155_32929287-GCST90001545-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001546,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_156_32929287-GCST90001546-EFO_0007937.h.tsv.gz
